Target_Date,Stock,news_count,avg_sentiment,avg_fused_score,avg_bert_score,avg_lexicon_score,positive_count,negative_count,neutral_count,positive_ratio,negative_ratio,sentiment_momentum
2023-05-13,PTT,1,0.0,-0.0192,-0.0275,0.0,0,0,1,0.0,0.0,0.2222
2023-05-15,ADVANC,1,-1.0,-0.4081,-0.1544,-1.0,0,1,0,0.0,1.0,-0.3333
2023-05-15,AOT,1,-1.0,-0.4081,-0.1544,-1.0,0,1,0,0.0,1.0,0.0
2023-05-15,SCB,1,0.0,0.1045,0.0065,0.3333,0,0,1,0.0,0.0,-0.6667
2023-05-16,ADVANC,1,0.0,-0.0459,-0.018,-0.1111,0,0,1,0.0,0.0,-0.3333
2023-05-16,SCB,1,-1.0,-0.3386,-0.0551,-1.0,0,1,0,0.0,1.0,-0.6667
2023-05-17,ADVANC,1,0.0,-0.0013,-0.0018,0.0,0,0,1,0.0,0.0,-0.3333
2023-05-17,AOT,1,-1.0,-0.3675,-0.0964,-1.0,0,1,0,0.0,1.0,-0.6667
2023-05-17,SCB,1,-1.0,-0.3675,-0.0964,-1.0,0,1,0,0.0,1.0,-0.6667
2023-05-18,ADVANC,1,1.0,0.1993,-0.1439,1.0,1,0,0,1.0,0.0,0.3333
2023-05-18,PTT,1,-1.0,-0.3013,-0.0019,-1.0,0,1,0,0.0,1.0,-0.1111
2023-05-18,SCB,3,0.6667,0.2017,-0.0452,0.7778,2,0,1,0.667,0.0,-0.4444
2023-05-19,AOT,1,0.0,0.0041,0.0058,0.0,0,0,1,0.0,0.0,-0.6667
2023-05-19,DELTA,1,0.0,0.0041,0.0058,0.0,0,0,1,0.0,0.0,-0.1667
2023-05-19,PTT,1,0.0,0.0041,0.0058,0.0,0,0,1,0.0,0.0,-0.3333
2023-05-20,PTT,1,0.0,-0.0093,-0.0944,0.1892,0,0,1,0.0,0.0,-0.3333
2023-05-20,SCB,2,0.0,0.0103,0.004,0.025,0,0,2,0.0,0.0,-0.1111
2023-05-21,SCB,2,0.0,0.021,-0.0414,0.1666,0,0,2,0.0,0.0,0.2222
2023-05-23,AOT,1,0.0,-0.1148,0.0008,-0.3846,0,0,1,0.0,0.0,-0.3333
2023-05-24,DELTA,1,0.0,0.0482,0.0212,0.1111,0,0,1,0.0,0.0,-0.1667
2023-05-25,ADVANC,1,-1.0,-0.2485,-0.0692,-0.6667,0,1,0,0.0,1.0,0.0
2023-05-25,DELTA,1,-1.0,-0.3348,-0.0497,-1.0,0,1,0,0.0,1.0,-0.3333
2023-05-25,PTT,1,-1.0,-0.3263,-0.4661,0.0,0,1,0,0.0,1.0,-0.3333
2023-05-27,SCB,1,0.0,-0.0682,-0.0975,0.0,0,0,1,0.0,0.0,0.0
2023-05-29,PTT,2,0.0,-0.0393,-0.0561,0.0,1,1,0,0.5,0.5,-0.3333
2023-05-30,AOT,1,0.0,-0.0485,0.0021,-0.1667,0,0,1,0.0,0.0,0.0
2023-05-30,PTT,2,0.0,0.0011,0.0016,0.0,0,0,2,0.0,0.0,-0.3333
2023-05-30,SCB,1,0.0,0.0642,0.0917,0.0,0,0,1,0.0,0.0,0.0
2023-05-31,ADVANC,2,-1.0,-0.2604,0.0565,-1.0,0,2,0,0.0,1.0,-0.3333
2023-05-31,DELTA,1,1.0,0.3079,0.0113,1.0,1,0,0,1.0,0.0,0.0
2023-06-01,DELTA,1,1.0,0.3132,0.0188,1.0,1,0,0,1.0,0.0,0.3333
2023-06-03,AOT,1,0.0,-0.0589,0.0015,-0.2,0,0,1,0.0,0.0,0.0
2023-06-03,DELTA,2,-0.5,-0.1428,0.0102,-0.5,0,1,1,0.0,0.5,0.5
2023-06-03,SCB,1,0.0,0.0987,0.141,0.0,0,0,1,0.0,0.0,0.0
2023-06-06,DELTA,1,-1.0,-0.2969,0.0045,-1.0,0,1,0,0.0,1.0,-0.1667
2023-06-06,SCB,3,-0.3333,-0.1004,-0.1149,-0.0667,0,1,2,0.0,0.333,-0.1111
2023-06-07,DELTA,1,0.0,0.0115,0.0164,0.0,0,0,1,0.0,0.0,-0.5
2023-06-08,AOT,1,0.0,0.0117,0.0167,0.0,0,0,1,0.0,0.0,0.0
2023-06-08,DELTA,1,0.0,0.0117,0.0167,0.0,0,0,1,0.0,0.0,-0.3333
2023-06-08,PTT,1,0.0,0.0117,0.0167,0.0,0,0,1,0.0,0.0,0.0
2023-06-08,SCB,3,-0.3333,-0.1152,0.0069,-0.4,0,1,2,0.0,0.333,-0.2222
2023-06-09,ADVANC,1,0.0,0.0003,0.0004,0.0,0,0,1,0.0,0.0,-0.6667
2023-06-12,ADVANC,1,0.0,-0.0534,0.0094,-0.2,0,0,1,0.0,0.0,-0.3333
2023-06-12,AOT,1,1.0,0.3025,0.0036,1.0,1,0,0,1.0,0.0,0.3333
2023-06-14,SCB,1,-1.0,-0.3678,-0.0968,-1.0,0,1,0,0.0,1.0,-0.5556
2023-06-15,AOT,1,0.0,-0.0096,-0.0137,0.0,0,0,1,0.0,0.0,0.3333
2023-06-15,DELTA,1,0.0,0.1343,0.0369,0.3617,0,0,1,0.0,0.0,0.0
2023-06-15,SCB,2,0.0,-0.0277,-0.0396,0.0,1,1,0,0.5,0.5,-0.4444
2023-06-16,PTT,1,-1.0,-0.276,-0.3943,0.0,0,1,0,0.0,1.0,-0.3333
2023-06-16,SCB,2,-0.5,-0.1724,-0.0321,-0.5,0,1,1,0.0,0.5,-0.5
2023-06-18,PTT,1,0.0,-0.0672,-0.096,0.0,0,0,1,0.0,0.0,-0.3333
2023-06-19,PTT,1,-1.0,-0.1738,-0.2483,0.0,0,1,0,0.0,1.0,-0.6667
2023-06-20,DELTA,3,-0.3333,-0.1072,-0.0499,-0.2407,0,1,2,0.0,0.333,-0.1111
2023-06-21,ADVANC,1,0.0,0.0036,0.0052,0.0,0,0,1,0.0,0.0,0.0
2023-06-21,AOT,1,0.0,0.004,0.0057,0.0,0,0,1,0.0,0.0,0.3333
2023-06-21,DELTA,1,0.0,0.004,0.0057,0.0,0,0,1,0.0,0.0,-0.1111
2023-06-21,PTT,1,0.0,-0.0639,-0.0056,-0.2,0,0,1,0.0,0.0,-0.3333
2023-06-21,SCB,1,0.0,0.004,0.0057,0.0,0,0,1,0.0,0.0,-0.1667
2023-06-23,AOT,1,-1.0,-0.2793,0.0296,-1.0,0,1,0,0.0,1.0,-0.3333
2023-06-23,PTT,1,0.0,-0.0693,-0.0133,-0.2,0,0,1,0.0,0.0,-0.3333
2023-06-25,PTT,1,0.0,0.0014,0.002,0.0,0,0,1,0.0,0.0,0.0
2023-06-26,AOT,1,-1.0,-0.3228,-0.0326,-1.0,0,1,0,0.0,1.0,-0.6667
2023-06-26,DELTA,1,-1.0,-0.3228,-0.0326,-1.0,0,1,0,0.0,1.0,-0.4444
2023-06-26,PTT,1,-1.0,-0.3228,-0.0326,-1.0,0,1,0,0.0,1.0,-0.3333
2023-06-27,AOT,1,-1.0,-0.363,-0.09,-1.0,0,1,0,0.0,1.0,-1.0
2023-06-27,SCB,1,-1.0,-0.363,-0.09,-1.0,0,1,0,0.0,1.0,-0.5
2023-06-30,SCB,1,0.0,-0.1452,0.0069,-0.5,0,0,1,0.0,0.0,-0.3333
2023-07-01,ADVANC,1,-1.0,-0.2784,0.0309,-1.0,0,1,0,0.0,1.0,-0.3333
2023-07-01,AOT,1,0.0,0.1264,0.0199,0.375,0,0,1,0.0,0.0,-0.6667
2023-07-01,DELTA,1,-1.0,-0.2784,0.0309,-1.0,0,1,0,0.0,1.0,-0.6667
2023-07-01,PTT,2,-0.5,-0.1336,0.0235,-0.5,0,1,1,0.0,0.5,-0.5
2023-07-01,SCB,2,-0.5,-0.1336,0.0235,-0.5,0,1,1,0.0,0.5,-0.5
2023-07-02,PTT,1,-1.0,-0.4542,-0.6489,0.0,0,1,0,0.0,1.0,-0.8333
2023-07-03,AOT,1,-1.0,-0.3029,-0.0041,-1.0,0,1,0,0.0,1.0,-0.6667
2023-07-03,PTT,1,-1.0,-0.3029,-0.0041,-1.0,0,1,0,0.0,1.0,-0.8333
2023-07-04,SCB,1,-1.0,-0.3321,-0.0459,-1.0,0,1,0,0.0,1.0,-0.5
2023-07-06,ADVANC,1,1.0,0.3122,0.0175,1.0,1,0,0,1.0,0.0,0.0
